length,common_edges,common_nodes,common_edges_mean,common_nodes_mean
336738.22520473995,0.245,0.5,0.22798,0.5423
348934.5366583668,0.245,0.6,0.243265,0.54522
341653.957989097,0.31,0.51,0.23324,0.53876
355534.12927539,0.275,0.51,0.242015,0.5398999999999999
346481.96089382854,0.325,0.56,0.2425,0.54268
339999.10330369,0.345,0.57,0.249535,0.5433499999999999
334369.1620361101,0.255,0.56,0.228645,0.5408699999999999
349068.7312152438,0.315,0.55,0.25107,0.5453199999999999
349912.87757157267,0.31,0.54,0.22842500000000002,0.54204
351547.75595402415,0.345,0.53,0.23787,0.5395899999999999
341539.2140172949,0.265,0.53,0.239245,0.5444
355366.6262786812,0.305,0.53,0.244125,0.5419400000000001
353387.7076764343,0.365,0.51,0.24247,0.54196
358910.8565866441,0.3,0.55,0.241735,0.54277
362611.0956216741,0.245,0.5,0.236495,0.54193
336281.4540060421,0.325,0.53,0.24278500000000003,0.54162
342986.7566011581,0.245,0.55,0.23242000000000002,0.54027
336620.79391966,0.23,0.5,0.226395,0.5386299999999999
349162.7008503011,0.32,0.61,0.23880500000000002,0.5395
348726.1356162814,0.245,0.51,0.22689499999999999,0.53908
347260.09053640056,0.32,0.57,0.245235,0.54627
355322.3270898012,0.24,0.55,0.227185,0.53698
342805.28773953486,0.32,0.5,0.252145,0.5408
342134.2047031438,0.325,0.56,0.23361500000000002,0.54
338428.0904278326,0.2,0.53,0.24603500000000003,0.54475
345838.1491485749,0.22,0.54,0.24839999999999998,0.54158
338625.2761543322,0.34,0.52,0.240585,0.543
345912.36500392423,0.285,0.53,0.253505,0.5422
346611.70307961677,0.225,0.54,0.24669,0.54216
332032.45764937915,0.26,0.56,0.238875,0.54296
348746.20073630987,0.285,0.51,0.237225,0.54511
345582.5731700427,0.315,0.51,0.22292,0.54206
350062.85601457045,0.29,0.52,0.243635,0.54253
349003.08477753773,0.26,0.57,0.231375,0.54049
330667.75610164343,0.245,0.52,0.24211000000000002,0.5454600000000001
341775.3627343781,0.28,0.56,0.22975,0.53925
353747.7065096763,0.225,0.56,0.24220499999999998,0.5433900000000002
336894.2581219758,0.275,0.52,0.245925,0.5438500000000001
331256.36968675733,0.225,0.52,0.24147,0.5432100000000001
357452.2728156481,0.25,0.53,0.24901500000000001,0.5422899999999999
350028.5776675744,0.145,0.56,0.247065,0.54425
347825.508862957,0.18,0.52,0.23261500000000002,0.53963
352857.8145188553,0.33,0.53,0.253415,0.5471699999999999
357808.7818172607,0.265,0.56,0.24286000000000002,0.5425999999999999
356142.56145668076,0.27,0.52,0.23535,0.5403800000000001
343164.9741030894,0.37,0.64,0.24416500000000002,0.5445800000000001
351443.4573991109,0.265,0.53,0.24241500000000002,0.54174
350673.285408393,0.245,0.55,0.22976000000000002,0.5433600000000001
354827.11476426,0.295,0.51,0.23529499999999998,0.54153
353269.2578632281,0.27,0.52,0.24473000000000003,0.5438099999999999
347838.7079770798,0.275,0.52,0.237125,0.5435399999999999
349268.184054874,0.34,0.59,0.245905,0.5398
344642.0074662514,0.235,0.55,0.243825,0.54227
339613.392943706,0.26,0.54,0.251485,0.54382
348315.19354269153,0.24,0.52,0.23736500000000002,0.54467
348428.85870686325,0.28,0.55,0.23651999999999998,0.54212
341843.9406313981,0.255,0.58,0.22868,0.5358200000000001
359363.76591640606,0.275,0.56,0.229185,0.54426
367823.04828549875,0.26,0.54,0.230095,0.53781
345337.6562371819,0.31,0.52,0.23142500000000002,0.54116
355982.29956914415,0.195,0.63,0.23826999999999998,0.5428
358968.00487594167,0.275,0.52,0.25540999999999997,0.54028
339319.3678497658,0.28,0.52,0.23704000000000003,0.5414300000000001
346597.65553968615,0.2,0.51,0.24419,0.5440600000000001
354070.5545113331,0.29,0.65,0.251085,0.53941
341311.9257662653,0.325,0.57,0.244555,0.5411900000000001
335148.89903848746,0.25,0.53,0.242715,0.54362
349612.482928159,0.25,0.54,0.243875,0.5441200000000002
348385.60654732434,0.27,0.57,0.253795,0.54176
341512.1818594455,0.445,0.53,0.24072,0.54464
344384.7580985732,0.25,0.54,0.23125,0.53955
352474.24800689064,0.27,0.54,0.24489,0.5418399999999999
334446.99184636277,0.235,0.51,0.23669,0.54011
342827.70621410245,0.295,0.51,0.224465,0.53985
353478.88823978,0.27,0.55,0.239635,0.53769
352293.072543327,0.28,0.56,0.22641000000000003,0.53959
340719.22796471976,0.32,0.53,0.251985,0.54174
352628.63763843884,0.325,0.53,0.247985,0.53999
364853.5417219979,0.265,0.55,0.22844,0.54055
357588.162930556,0.26,0.52,0.23341,0.5384500000000001
345910.80939134373,0.27,0.54,0.24816,0.5405
331820.96058447554,0.305,0.55,0.24599000000000001,0.54153
342617.9389022154,0.23,0.56,0.240905,0.54088
351106.3503586167,0.24,0.56,0.23252,0.54591
353459.7996689749,0.255,0.53,0.23865999999999998,0.54037
336880.976869459,0.28,0.56,0.24061000000000002,0.54071
343057.8839468508,0.23,0.58,0.22423500000000002,0.53831
355333.90155322675,0.255,0.51,0.23841000000000004,0.5396
323709.15381055407,0.2,0.56,0.22409000000000004,0.54236
345870.60992803366,0.245,0.59,0.249185,0.5421
352572.9026857496,0.24,0.52,0.24656999999999998,0.54275
346300.12904166494,0.315,0.52,0.25223,0.54275
339398.44753443194,0.315,0.54,0.25022500000000003,0.54553
335746.42397413973,0.255,0.56,0.21208,0.54031
333347.58613331674,0.29,0.56,0.21994999999999998,0.54083
351190.6159062608,0.285,0.54,0.247445,0.5406400000000001
354808.8148990138,0.375,0.55,0.24619,0.5418000000000001
341271.1142191722,0.285,0.51,0.24077,0.54372
358936.4040477103,0.245,0.52,0.23834000000000002,0.5383199999999999
354722.86975424155,0.22,0.53,0.222995,0.53673
342960.6686516836,0.28,0.56,0.23523500000000003,0.54256
334038.29797812726,0.315,0.54,0.25229,0.547
338285.4369401316,0.2,0.58,0.2435,0.54606
347652.5316564917,0.195,0.59,0.24642000000000003,0.54359
342090.3525303769,0.295,0.54,0.235415,0.54076
343094.6072151966,0.305,0.57,0.23686000000000001,0.5452400000000001
345409.494104665,0.195,0.56,0.23626499999999998,0.54352
355808.6791975086,0.195,0.52,0.24048000000000003,0.54134
340438.502501993,0.26,0.51,0.23546499999999998,0.5413199999999999
339777.77464304573,0.305,0.59,0.23353,0.53893
352246.4724309065,0.305,0.53,0.23888000000000004,0.54125
356209.70207134367,0.215,0.58,0.237655,0.54122
337381.4600749898,0.25,0.56,0.25533,0.5444000000000001
355682.090856361,0.27,0.53,0.24330000000000002,0.5464000000000001
350033.51120930054,0.33,0.52,0.2404,0.54304
335401.56447601225,0.405,0.56,0.24743,0.5392899999999999
351491.28419012076,0.235,0.56,0.22811,0.53972
335720.49426386086,0.31,0.53,0.24129,0.54271
354468.79557815037,0.315,0.6,0.24128000000000002,0.54199
354977.47948574566,0.32,0.54,0.25138499999999997,0.5442899999999999
375611.1879936941,0.235,0.51,0.24876,0.5432400000000001
355041.35980799235,0.385,0.59,0.255105,0.54464
354362.7976282788,0.245,0.59,0.23651499999999998,0.5454600000000001
335760.9058563439,0.24,0.52,0.23666500000000001,0.54035
344714.0995537271,0.38,0.54,0.24678499999999998,0.54641
339029.18877029,0.265,0.52,0.24295000000000003,0.5437000000000001
344202.42410923436,0.27,0.56,0.23851,0.54118
345007.74473697896,0.24,0.51,0.22656,0.54131
340707.9823867746,0.275,0.52,0.24214499999999997,0.5428099999999999
342180.91402668285,0.265,0.5,0.236325,0.5406099999999999
353168.01706970955,0.28,0.51,0.240445,0.5416299999999998
353048.2976594827,0.23,0.54,0.24500999999999998,0.54617
364774.5604548134,0.27,0.53,0.24339,0.54085
352521.3626774457,0.16,0.58,0.240205,0.5402100000000001
333872.2582673975,0.35,0.51,0.22552,0.54117
337189.2436682381,0.235,0.5,0.23761500000000002,0.54047
359664.0639250841,0.295,0.55,0.233995,0.5424
352275.9071862409,0.195,0.58,0.23913,0.54147
351597.03067388956,0.3,0.55,0.23745499999999997,0.54422
336622.9546829966,0.205,0.51,0.24274,0.5431600000000001
341147.7826492599,0.26,0.53,0.24010499999999999,0.54308
358212.7055352813,0.23,0.53,0.23404,0.5434000000000001
354862.6512694308,0.235,0.54,0.235625,0.5427799999999999
351557.8576765698,0.25,0.51,0.24837,0.5424800000000001
349330.2422626343,0.23,0.51,0.237485,0.54146
342835.06337072793,0.325,0.55,0.240955,0.5433600000000001
352979.68049920665,0.32,0.61,0.24322000000000002,0.5426400000000001
350243.4451199991,0.21,0.51,0.23961000000000002,0.5373399999999999
343945.7598065906,0.305,0.54,0.24075,0.54398
335605.13739862863,0.345,0.52,0.23489,0.54104
329205.3443682521,0.255,0.55,0.23508500000000002,0.54249
343901.0505034731,0.315,0.59,0.250515,0.54652
341750.956966977,0.19,0.58,0.24577,0.54241
357511.8453049424,0.205,0.53,0.23616000000000004,0.53944
342976.13507698936,0.255,0.51,0.23788,0.5450900000000002
346318.7785781539,0.205,0.53,0.25529,0.5471699999999999
346017.40558405395,0.3,0.54,0.25291,0.5442199999999999
344711.4436894821,0.275,0.57,0.244815,0.54268
337794.9204271483,0.215,0.5,0.23956,0.5425399999999999
341952.4271122884,0.265,0.5,0.255065,0.54344
341760.5423352177,0.275,0.53,0.246755,0.54301
353966.8804690589,0.35,0.64,0.244655,0.54051
333204.086143968,0.27,0.51,0.231955,0.54144
355257.8409168449,0.3,0.52,0.24599000000000001,0.54558
350611.7485045409,0.34,0.51,0.241635,0.54222
335323.6632313732,0.275,0.65,0.24903000000000003,0.54449
334115.09957116516,0.295,0.5,0.24312,0.54512
353272.23253202904,0.215,0.51,0.248595,0.5393399999999999
342778.49763792765,0.23,0.51,0.23232499999999998,0.5384800000000001
367114.0633258978,0.225,0.53,0.23870499999999997,0.54149
358286.5502485107,0.315,0.54,0.23323999999999998,0.5385800000000001
346867.91404653684,0.36,0.55,0.238705,0.5406
334101.6529190842,0.3,0.5,0.255765,0.5437799999999999
342680.0071789953,0.195,0.54,0.23805,0.54336
335418.0628412352,0.36,0.6,0.240945,0.54215
331164.4174088276,0.25,0.51,0.24654,0.5414
357065.724404839,0.215,0.53,0.23414999999999997,0.54047
360619.79844990664,0.35,0.51,0.23561500000000002,0.5391
351711.1726757824,0.295,0.5,0.244145,0.54047
340744.1010739434,0.27,0.51,0.23810000000000003,0.5380900000000001
338635.24891875224,0.24,0.56,0.25370499999999996,0.54157
343104.44446430495,0.215,0.55,0.23810000000000003,0.54103
346061.12398860126,0.255,0.5,0.23316000000000003,0.54024
341508.2565708029,0.295,0.52,0.243925,0.54174
342119.20550388156,0.15,0.56,0.23993,0.5433900000000002
335813.6825877748,0.32,0.59,0.248185,0.5442
345286.50233249227,0.325,0.59,0.24008,0.54071
358577.2580639755,0.295,0.5,0.241045,0.54189
360219.3407658409,0.185,0.53,0.238465,0.5436300000000001
357809.5263422198,0.2,0.57,0.24322,0.5415
343671.07051642577,0.38,0.61,0.23477,0.53992
347105.22306611296,0.345,0.51,0.233435,0.53913
355600.7937245831,0.36,0.57,0.250165,0.54774
349173.9441745114,0.165,0.54,0.227615,0.54034
356016.18166657665,0.185,0.67,0.23771,0.5395699999999999
359772.45531942917,0.28,0.52,0.243545,0.54599
342671.7526510641,0.23,0.52,0.23331,0.54301
326616.3267556132,0.315,0.52,0.24851,0.5434500000000001
338371.754998812,0.315,0.56,0.25298000000000004,0.5408999999999999
345100.361412768,0.265,0.57,0.22911,0.53781
356994.0072254496,0.32,0.56,0.243685,0.5435099999999999
340829.97241892834,0.25,0.51,0.229825,0.53653
362566.79594911437,0.315,0.57,0.23812,0.5434000000000001
335930.9753872968,0.255,0.53,0.25112,0.5452
341936.99773842917,0.265,0.58,0.240735,0.54031
348220.01235374867,0.24,0.69,0.25133999999999995,0.54305
338355.20068204624,0.22,0.56,0.2385,0.53988
356331.85754631006,0.24,0.53,0.25597,0.5442100000000001
350041.2367983516,0.225,0.53,0.246805,0.54027
352541.504133394,0.245,0.52,0.24327000000000001,0.54377
338687.98462887737,0.34,0.58,0.24256,0.5422
345355.04829280433,0.34,0.51,0.23951000000000003,0.53903
340627.51246026304,0.315,0.58,0.23504000000000003,0.5399200000000001
345391.40776926355,0.285,0.53,0.244545,0.53823
360624.29680763884,0.34,0.55,0.22828,0.54386
333966.1055064865,0.325,0.53,0.24503000000000003,0.5451900000000001
353481.13930918893,0.255,0.54,0.24307499999999999,0.54069
359332.37991530274,0.255,0.53,0.241955,0.5426299999999998
350011.36343843513,0.165,0.52,0.23944,0.53953
342994.37670012825,0.315,0.5,0.23320999999999997,0.54449
342277.1679586777,0.265,0.5,0.227805,0.53789
344958.6259382981,0.245,0.55,0.242845,0.5437
350467.3910276077,0.28,0.58,0.247815,0.54326
359849.35923912027,0.27,0.56,0.23164999999999997,0.53796
350091.8007933481,0.265,0.51,0.24078500000000003,0.5446200000000001
349156.049780812,0.26,0.54,0.23940999999999998,0.5447799999999999
337053.87418895646,0.22,0.51,0.23049,0.541
354115.405529925,0.31,0.51,0.240205,0.5403300000000001
338402.78638977633,0.405,0.56,0.24718,0.54303
336588.2106185141,0.205,0.62,0.24828,0.54412
351976.3243479973,0.325,0.58,0.24359,0.54171
348757.7492058653,0.285,0.52,0.24627,0.5453
337616.52288115304,0.275,0.55,0.24782500000000002,0.54734
340281.1900044097,0.275,0.52,0.235775,0.5445899999999999
334907.04317628616,0.225,0.57,0.24210500000000001,0.5385599999999999
342838.9110053641,0.33,0.54,0.244555,0.5399700000000001
351260.50362399,0.245,0.55,0.228245,0.53973
341246.5951374178,0.31,0.56,0.24375,0.53993
343252.3519665131,0.27,0.56,0.23540000000000003,0.5421900000000001
345656.91096065124,0.35,0.58,0.24345499999999998,0.54193
346565.31736584223,0.27,0.5,0.24165,0.54003
336712.93062802136,0.28,0.55,0.23363499999999998,0.5385
355609.17630659824,0.4,0.58,0.24287,0.5428299999999999
341987.202725976,0.29,0.57,0.24722999999999998,0.54552
347366.1445229477,0.285,0.57,0.24206,0.54675
350710.96969028015,0.295,0.58,0.24121499999999998,0.5403000000000001
340519.8098644094,0.29,0.52,0.23589,0.5440499999999999
335373.1696283368,0.295,0.52,0.23895000000000002,0.54093
348820.07174343645,0.315,0.5,0.24685,0.54766
355958.3975223962,0.315,0.51,0.25057,0.5409400000000001
358317.8524250795,0.335,0.53,0.23968,0.5437199999999999
360849.55520301225,0.3,0.55,0.23884,0.5399700000000001
360296.7569485405,0.3,0.52,0.24308499999999997,0.54377
358270.2985910487,0.205,0.53,0.235485,0.5427000000000001
347473.1854647139,0.25,0.53,0.25872500000000004,0.5473300000000001
349504.2566358993,0.235,0.53,0.24029,0.5391199999999999
336750.0020118932,0.21,0.57,0.23125,0.54365
335614.0001690765,0.27,0.51,0.24026499999999998,0.54523
344922.22680820455,0.35,0.51,0.25088499999999997,0.5427000000000001
339313.5249696872,0.25,0.55,0.233745,0.5374
362454.3032992838,0.315,0.54,0.246535,0.5420499999999999
337220.4384410473,0.31,0.51,0.23778,0.54161
353498.6721853003,0.3,0.58,0.237965,0.54259
364803.3814031936,0.185,0.55,0.24257,0.54224
362905.61331675417,0.32,0.63,0.236965,0.53952
333329.69979059504,0.305,0.52,0.23660000000000003,0.54222
346945.63551876694,0.225,0.55,0.25982500000000003,0.54568
343904.9785569258,0.325,0.62,0.235155,0.5419
349250.0178364384,0.26,0.55,0.25212,0.5464300000000001
346869.1808966117,0.22,0.54,0.242405,0.5455099999999999
361880.6018409465,0.235,0.54,0.242535,0.5442899999999999
351266.3664970867,0.24,0.51,0.242935,0.54098
339105.93003496714,0.315,0.5,0.2445,0.54082
356890.59049912286,0.225,0.55,0.22297,0.53679
344359.75617844204,0.28,0.55,0.243855,0.5415099999999999
357904.7970636272,0.21,0.54,0.25605,0.5475899999999999
359376.0795150161,0.245,0.52,0.233665,0.53717
348703.357221743,0.24,0.52,0.23102499999999998,0.5374
342681.65607856715,0.265,0.52,0.25194500000000003,0.54466
328532.0073339062,0.285,0.51,0.23503,0.53728
360172.4483779443,0.335,0.57,0.24499500000000002,0.5427799999999999
355299.0509821129,0.315,0.53,0.24031500000000003,0.54051
344249.62407521636,0.235,0.5,0.23311,0.54549
347770.38431418326,0.285,0.55,0.24521,0.54328
368362.02466562844,0.255,0.61,0.24869,0.5454
341724.87248594704,0.275,0.59,0.24765,0.54476
354393.47008555627,0.305,0.52,0.24446999999999997,0.5380900000000001
340147.0415545842,0.29,0.54,0.24403,0.5443399999999999
327305.58127224655,0.29,0.53,0.23447500000000002,0.5423400000000002
356405.06487826747,0.29,0.52,0.250765,0.54726
359275.3858964181,0.295,0.53,0.24798,0.54063
353738.5714022958,0.285,0.51,0.232315,0.5423700000000001
354168.04577447573,0.255,0.52,0.25288000000000005,0.5467799999999999
352818.640781652,0.345,0.55,0.24084999999999998,0.5421999999999999
345431.3754736651,0.3,0.53,0.242625,0.5381600000000001
340676.28067801555,0.325,0.52,0.243445,0.5410900000000001
325617.0212009888,0.265,0.56,0.22619499999999998,0.5387000000000001
332932.7476770051,0.245,0.53,0.243125,0.5409700000000001
346314.0799203229,0.31,0.59,0.257685,0.5411699999999999
334783.6114485446,0.275,0.54,0.241605,0.53924
330433.64282410895,0.31,0.54,0.241905,0.54695
345211.7319617594,0.255,0.53,0.24644000000000002,0.5449700000000001
359646.6882214033,0.325,0.63,0.24844,0.5434300000000001
338706.6679183474,0.325,0.53,0.23793999999999998,0.5406599999999999
345835.1723683226,0.285,0.56,0.24178,0.54127
331290.24975634366,0.32,0.53,0.22839000000000004,0.5373300000000001
357217.7630975108,0.305,0.55,0.24793,0.54117
343827.5983265598,0.24,0.58,0.23615000000000003,0.5399899999999999
328897.4097600598,0.31,0.56,0.22216500000000003,0.5398
347829.8401881139,0.3,0.6,0.24395,0.5449100000000001
345946.15614260617,0.215,0.56,0.24022000000000002,0.5390900000000001
361142.9548331067,0.255,0.55,0.244715,0.54184
340208.95513498515,0.25,0.58,0.242255,0.5400699999999999
348927.24316670233,0.29,0.52,0.2402,0.54099
357941.9582926871,0.22,0.62,0.231685,0.54144
360950.75400249707,0.25,0.57,0.239075,0.54035
353372.75029801775,0.4,0.56,0.245315,0.5417000000000001
350241.55330033967,0.185,0.53,0.245405,0.54396
349983.28467252787,0.29,0.56,0.236765,0.5398399999999999
344998.0265164458,0.305,0.51,0.25439,0.5428
352374.30509439926,0.24,0.5,0.245255,0.5414300000000001
346883.44453114615,0.25,0.53,0.24364499999999997,0.54047
348409.56548936956,0.25,0.52,0.226155,0.54225
350412.58858276345,0.23,0.54,0.24763,0.54196
338767.53671524103,0.29,0.51,0.25037,0.54506
330499.23072247434,0.33,0.59,0.24352,0.54522
341555.95376097487,0.305,0.62,0.242235,0.54373
337916.3413105521,0.28,0.56,0.236005,0.54081
352288.7029966719,0.3,0.54,0.25072,0.54698
355454.4950893852,0.205,0.56,0.24819500000000003,0.54686
331252.63312624046,0.28,0.55,0.23237,0.54103
349824.03279485065,0.235,0.51,0.23224,0.54201
346254.8954779032,0.205,0.56,0.2372,0.54004
351881.64961069735,0.235,0.58,0.232105,0.54331
346055.04766855773,0.21,0.51,0.23736000000000002,0.54271
342644.64468656515,0.28,0.53,0.21897,0.53938
353027.14129102963,0.275,0.5,0.23319,0.54223
358621.51557610696,0.255,0.59,0.24004,0.54301
354624.09704980726,0.31,0.55,0.243125,0.5444000000000001
353951.5904292802,0.26,0.6,0.24472000000000002,0.54832
351138.718596308,0.245,0.59,0.238155,0.53844
339314.03756764677,0.235,0.51,0.245695,0.5414599999999999
356603.74408657977,0.36,0.5,0.23576999999999998,0.5456199999999999
354939.52298189537,0.265,0.52,0.24743500000000002,0.5436599999999998
322507.75855388085,0.27,0.59,0.24950999999999998,0.5406599999999999
336666.79227015073,0.25,0.58,0.243805,0.5406500000000001
347141.12616492395,0.195,0.57,0.22856,0.5395999999999999
347505.637259381,0.31,0.58,0.24025,0.5419700000000001
373177.9905562711,0.25,0.53,0.244305,0.54477
350020.787494998,0.32,0.51,0.23038000000000003,0.5393700000000001
344479.79731530114,0.34,0.58,0.24815500000000001,0.54006
345932.67286643514,0.285,0.57,0.24684,0.5441200000000002
343386.7696936473,0.265,0.56,0.23896500000000004,0.5368699999999998
343728.8833496006,0.325,0.57,0.25202,0.54511
