length,common_edges,common_nodes,common_edges_mean,common_nodes_mean
38873.91107546837,0.255,0.56,0.24443,0.5383399999999999
38984.0402703891,0.335,0.54,0.22619999999999998,0.5414399999999999
39218.91808515844,0.255,0.58,0.23495500000000002,0.5452100000000001
39890.21303332639,0.31,0.55,0.24616500000000002,0.5411299999999999
37552.821346254976,0.335,0.63,0.24473000000000003,0.54544
39139.44822979522,0.255,0.54,0.23195500000000002,0.5435800000000001
39057.29364356303,0.215,0.56,0.24162,0.5425399999999999
40516.583986780555,0.275,0.58,0.23007999999999998,0.53952
38115.715064843636,0.29,0.52,0.244335,0.5453
40201.03242909524,0.28,0.54,0.23381,0.5418399999999999
36440.72383848595,0.385,0.62,0.25171,0.54402
38510.04259057868,0.305,0.54,0.23536500000000002,0.5404800000000001
36481.93989443788,0.235,0.56,0.24844999999999998,0.54335
38373.941880602404,0.23,0.55,0.24244,0.54149
37679.05463149832,0.29,0.52,0.239485,0.5415099999999999
39956.61881215526,0.27,0.55,0.23565,0.54139
38597.369609669215,0.255,0.51,0.24195499999999998,0.54268
39070.52590634597,0.305,0.55,0.22516500000000003,0.54181
39798.400466108236,0.27,0.53,0.241915,0.5411500000000001
38780.56819968922,0.255,0.52,0.23347500000000002,0.54344
41174.71742570983,0.29,0.55,0.22238,0.5401200000000002
38859.4696651854,0.31,0.5,0.23721,0.5406299999999998
39582.065433083044,0.26,0.52,0.23616000000000004,0.54169
37367.33028889455,0.335,0.53,0.25458500000000006,0.5423900000000001
39771.44247054628,0.285,0.54,0.24360500000000002,0.5415800000000001
37248.716144163634,0.285,0.5,0.24372,0.54291
39126.19522250284,0.28,0.63,0.23756,0.54225
38797.80366210558,0.235,0.51,0.23772000000000001,0.5383199999999999
40023.63115975909,0.305,0.5,0.23805500000000002,0.5431900000000001
38760.14076329478,0.3,0.51,0.24967,0.54101
38487.14237150704,0.29,0.54,0.25165,0.54089
38989.3431978069,0.28,0.51,0.24069,0.54446
37031.19405421249,0.265,0.52,0.245835,0.54532
35639.17999779194,0.375,0.52,0.26264499999999996,0.54344
38250.619937786934,0.185,0.52,0.24579,0.54577
36675.84984615209,0.295,0.5,0.24852,0.54477
38878.61882366703,0.28,0.5,0.24143,0.5432100000000001
39768.6069999648,0.26,0.54,0.23495,0.54185
39570.494311640534,0.295,0.52,0.23718,0.5435
39566.31976065242,0.25,0.52,0.23695999999999998,0.5384099999999999
37737.06880614093,0.27,0.51,0.25420000000000004,0.54499
39910.76312565833,0.36,0.59,0.23206,0.53926
38619.133258479575,0.23,0.51,0.23843,0.54344
38524.843985975764,0.29,0.59,0.23834,0.5462100000000001
38499.39598120621,0.34,0.59,0.24045500000000003,0.54106
38012.25838502127,0.28,0.6,0.237995,0.54361
39287.46894532059,0.22,0.5,0.241615,0.53987
38012.012499594595,0.27,0.59,0.237285,0.5398799999999999
39753.872851540815,0.345,0.54,0.23679000000000003,0.54
37272.233584678856,0.31,0.53,0.24302,0.54355
39976.83213026014,0.255,0.53,0.235595,0.5375800000000001
39653.107835059265,0.34,0.54,0.242785,0.5419299999999999
40036.12492422342,0.265,0.62,0.23709000000000002,0.53938
39697.50760643445,0.32,0.5,0.2421,0.5434
38333.860683599036,0.24,0.55,0.2394,0.54447
38958.41512316427,0.26,0.52,0.23474,0.5428599999999999
39279.08181115868,0.185,0.5,0.23264500000000002,0.54323
37044.95235999799,0.305,0.52,0.25970499999999996,0.54313
37903.942834514564,0.26,0.55,0.24951500000000001,0.54855
40639.56978300577,0.235,0.57,0.23557000000000003,0.5368399999999999
38386.679753298755,0.265,0.56,0.23805500000000002,0.5403199999999999
39351.098687999984,0.385,0.51,0.232965,0.5429700000000001
39349.68564054949,0.29,0.54,0.24945499999999998,0.54303
37810.960116118236,0.32,0.6,0.24850500000000003,0.54268
40040.02874201579,0.24,0.52,0.22713000000000003,0.5411200000000002
37146.09029615591,0.285,0.52,0.24856,0.54683
37976.910668980054,0.335,0.55,0.25218,0.54177
39619.86125143396,0.32,0.54,0.24994999999999998,0.54011
39721.020473863646,0.23,0.55,0.22970000000000002,0.53964
37762.67798511118,0.3,0.55,0.240085,0.54161
35678.354672554306,0.265,0.52,0.25780000000000003,0.54402
42720.903646855484,0.285,0.52,0.210715,0.5387000000000001
39879.53139044666,0.26,0.56,0.22906,0.54003
38088.45220421066,0.27,0.54,0.24211000000000002,0.5434699999999999
39715.73517727252,0.27,0.53,0.223815,0.54406
37782.71007094651,0.29,0.55,0.2312,0.5417799999999999
40465.1555004821,0.27,0.61,0.23128,0.5385
38403.000539104774,0.345,0.6,0.23289500000000002,0.5421500000000001
38840.49440747119,0.32,0.55,0.24541500000000002,0.54622
38994.58243422059,0.26,0.56,0.2455,0.54425
40365.28652724557,0.305,0.53,0.235035,0.53872
41151.758367229966,0.25,0.52,0.234995,0.5405
39846.10748376299,0.175,0.5,0.24049,0.54238
39142.131810903185,0.235,0.54,0.239125,0.53995
40681.80972214274,0.26,0.55,0.23273000000000002,0.5406000000000002
38856.75907027439,0.23,0.62,0.24012999999999998,0.5462100000000001
37845.64644059542,0.215,0.54,0.24527499999999997,0.5428800000000001
37165.03512316922,0.28,0.56,0.255175,0.54315
38517.69207069241,0.32,0.51,0.233105,0.54701
38246.423226999446,0.33,0.54,0.24319,0.54411
37481.685840721664,0.25,0.5,0.246355,0.54213
38697.74979018555,0.29,0.54,0.237225,0.54096
41295.01565012793,0.28,0.5,0.22191999999999998,0.54103
35277.36500123396,0.26,0.54,0.24450999999999998,0.5473199999999999
39815.371203779905,0.29,0.52,0.23679000000000003,0.54123
37451.395974291336,0.29,0.51,0.24316,0.54312
37221.54302252508,0.3,0.52,0.25041,0.54268
38877.87176464739,0.215,0.51,0.2365,0.5404000000000001
38277.79078158918,0.265,0.54,0.24464499999999997,0.5416099999999999
39604.06316514672,0.32,0.56,0.24265500000000004,0.54231
38995.57990059946,0.29,0.52,0.248125,0.54366
38909.169633221536,0.36,0.54,0.24097,0.5431900000000001
36385.061747805,0.32,0.54,0.25710500000000003,0.543
39725.337564954374,0.295,0.5,0.23295,0.53876
38330.691087959756,0.235,0.54,0.23353000000000004,0.54132
39914.380327595194,0.36,0.56,0.24978,0.54169
39941.005224284105,0.16,0.55,0.23868,0.5415500000000001
37382.676857357495,0.215,0.6,0.25151,0.54326
37635.89922881777,0.24,0.56,0.252405,0.546
38012.68467731011,0.295,0.56,0.243875,0.54053
40602.067435706325,0.285,0.58,0.229935,0.5408299999999999
36605.79726764765,0.29,0.52,0.25388,0.54431
36273.16356118118,0.31,0.56,0.2517,0.5448
40732.574523745396,0.305,0.52,0.235605,0.538
37961.58192832013,0.265,0.52,0.245345,0.5407199999999999
36013.098769083386,0.29,0.56,0.25496,0.5455899999999999
36910.768487412075,0.36,0.64,0.24941000000000002,0.5455899999999999
39851.99906624765,0.255,0.52,0.23007,0.5418099999999999
38579.461264209356,0.3,0.55,0.24137,0.5427199999999999
37811.703146743384,0.26,0.57,0.23876,0.5418
39724.141181067884,0.265,0.52,0.23933000000000001,0.54286
40160.74729912754,0.335,0.54,0.23339000000000001,0.5410699999999999
37172.23360782869,0.31,0.54,0.25933000000000006,0.5432
37318.3548552764,0.44,0.66,0.24998,0.5449299999999999
39198.75746261295,0.24,0.51,0.250035,0.54274
39844.066243064255,0.25,0.51,0.24337,0.54244
37674.50064056217,0.335,0.53,0.257255,0.53975
39010.02401281624,0.34,0.5,0.23621999999999999,0.54238
39284.79803134304,0.295,0.54,0.245385,0.5449400000000001
38125.22259203541,0.28,0.51,0.23682499999999998,0.5463399999999999
35274.3846720039,0.31,0.51,0.2583,0.5456700000000001
39615.58888032388,0.29,0.51,0.23758500000000005,0.5404
40068.879836204156,0.35,0.57,0.24091500000000002,0.54022
41355.134213150144,0.275,0.54,0.22982,0.5409499999999999
40475.71622412474,0.22,0.52,0.23166,0.53714
37669.74948985762,0.315,0.51,0.24666000000000002,0.54233
40080.06772343301,0.355,0.52,0.23942000000000002,0.54272
37774.73443262452,0.27,0.51,0.240455,0.5438099999999999
39211.38424300302,0.305,0.53,0.24435,0.54399
38711.99231539007,0.355,0.52,0.24741500000000002,0.5405599999999999
38403.53663292875,0.245,0.51,0.230935,0.5403300000000001
37402.44139570857,0.29,0.52,0.24009,0.53929
40348.54672026361,0.285,0.5,0.23596999999999999,0.54197
37965.33957648003,0.275,0.51,0.24264,0.54096
40231.102571043826,0.33,0.56,0.22807,0.53964
37385.39325083889,0.33,0.52,0.240405,0.54438
39951.35279799533,0.155,0.54,0.23311,0.54262
40152.235872166726,0.275,0.56,0.22939,0.5419400000000001
38677.79024191414,0.22,0.51,0.23994,0.54092
38289.05641727662,0.28,0.51,0.23398500000000003,0.5447000000000001
39974.08633035647,0.28,0.6,0.23005,0.53903
36301.17849830854,0.28,0.51,0.25891,0.5438099999999999
38590.555119408455,0.22,0.6,0.24951500000000001,0.54217
36693.083246208014,0.34,0.59,0.25112,0.5429499999999999
37186.09395081889,0.22,0.6,0.25463,0.5453900000000002
39042.87940394292,0.27,0.51,0.226925,0.5398999999999999
37516.68346379179,0.25,0.52,0.245485,0.5436099999999999
38666.7701192689,0.27,0.51,0.24428,0.54263
38080.09407990379,0.215,0.51,0.238985,0.54618
39959.1998120284,0.225,0.53,0.23243,0.5426700000000001
37960.653369571584,0.3,0.52,0.243835,0.54559
39519.14733260983,0.385,0.55,0.24164999999999998,0.5408
38902.26313745721,0.23,0.52,0.240715,0.53895
39364.14748290675,0.31,0.58,0.23905500000000002,0.54051
38959.19232697448,0.255,0.65,0.233915,0.54502
36647.838723719186,0.3,0.51,0.249895,0.5454
36508.79777669203,0.215,0.67,0.25200500000000003,0.54162
40131.12086781151,0.33,0.5,0.24575,0.53968
38019.56641052835,0.255,0.54,0.251545,0.54609
39112.68813055949,0.335,0.51,0.24737,0.5433800000000001
38089.567658088796,0.28,0.58,0.234315,0.5417000000000001
39669.16887086371,0.405,0.54,0.23868,0.54333
39343.90003266395,0.285,0.52,0.23857000000000003,0.54041
37612.37151827847,0.31,0.55,0.24778500000000003,0.54501
35681.45161523952,0.375,0.57,0.25368,0.5481800000000001
37046.34034368476,0.295,0.51,0.24897500000000003,0.5448800000000001
39111.26287514152,0.325,0.55,0.234965,0.5379400000000001
38476.127973494455,0.245,0.53,0.24258000000000002,0.54284
38923.59552826029,0.155,0.56,0.23685000000000003,0.5457799999999999
39763.51936083245,0.285,0.51,0.23309500000000002,0.54016
38964.56106257373,0.265,0.56,0.23726999999999998,0.54255
39809.778628770335,0.28,0.56,0.24499,0.5422899999999999
38122.44836839604,0.27,0.52,0.240855,0.5431900000000001
37859.35262446132,0.31,0.58,0.249255,0.54402
41939.60569500488,0.255,0.51,0.22763,0.5382700000000001
37777.22511071047,0.375,0.59,0.2504,0.54133
39217.19102763546,0.29,0.55,0.229655,0.5411600000000001
38285.56155939792,0.245,0.56,0.24296500000000001,0.54059
38513.790574324536,0.295,0.51,0.23685000000000003,0.5434500000000001
38132.19387330653,0.29,0.52,0.242325,0.53911
38015.746246764225,0.23,0.54,0.23954000000000003,0.54277
37535.499908859,0.255,0.56,0.2501,0.54347
39077.64347896584,0.295,0.5,0.23636000000000001,0.5399700000000001
38918.33277564982,0.29,0.51,0.23739,0.53992
37560.42892540963,0.335,0.55,0.25257,0.54332
39137.477880509236,0.275,0.53,0.2289,0.5392
39027.66906249699,0.3,0.52,0.24087,0.54204
38461.04974095561,0.26,0.61,0.24144,0.5416799999999999
38066.05782081152,0.24,0.52,0.248485,0.54253
